merged0	Unassigned:Other
merged59	k__Bacteria:p__Lentisphaerae:c__[Lentisphaeria]:o__Victivallales
merged62	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__RF32
merged63	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Rhizobiales
merged64	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Rhodobacterales
merged65	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Sphingomonadales
merged66	k__Bacteria:p__Proteobacteria:c__Betaproteobacteria:o__Burkholderiales
merged68	k__Bacteria:p__Proteobacteria:c__Betaproteobacteria:o__Neisseriales
merged69	k__Bacteria:p__Proteobacteria:c__Betaproteobacteria:o__Rhodocyclales
merged70	k__Bacteria:p__Proteobacteria:c__Deltaproteobacteria:o__Desulfovibrionales
merged71	k__Bacteria:p__Proteobacteria:c__Epsilonproteobacteria:o__Campylobacterales
merged73	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria:o__Enterobacteriales
merged74	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria:o__Pasteurellales
merged75	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria:o__Pseudomonadales
merged77	k__Bacteria:p__Synergistetes:c__Synergistia:o__Synergistales
merged78	k__Bacteria:p__TM7:c__TM7-3:o__
merged79	k__Bacteria:p__TM7:c__TM7-3:o__CW040
merged80	k__Bacteria:p__Tenericutes:c__Mollicutes:o__RF39
merged83	k__Bacteria:p__Verrucomicrobia:c__Verrucomicrobiae:o__Verrucomicrobiales
merged84	Unassigned:Other:Other:Other:Other
merged85	k__Bacteria:p__Actinobacteria:c__Actinobacteria:o__Actinomycetales:f__Actinomycetaceae
merged86	k__Bacteria:p__Actinobacteria:c__Actinobacteria:o__Actinomycetales:f__Corynebacteriaceae
merged88	k__Bacteria:p__Actinobacteria:c__Actinobacteria:o__Actinomycetales:f__Propionibacteriaceae
merged89	k__Bacteria:p__Actinobacteria:c__Actinobacteria:o__Bifidobacteriales:f__Bifidobacteriaceae
merged90	k__Bacteria:p__Actinobacteria:c__Coriobacteriia:o__Coriobacteriales:f__Coriobacteriaceae
merged91	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:Other
merged93	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__Bacteroidaceae
merged94	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__Porphyromonadaceae
merged95	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__Prevotellaceae
merged96	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__Rikenellaceae
merged97	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__S24-7
merged98	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__[Barnesiellaceae]
merged99	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__[Odoribacteraceae]
merged100	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__[Paraprevotellaceae]
merged103	k__Bacteria:p__Bacteroidetes:c__[Saprospirae]:o__[Saprospirales]:f__Chitinophagaceae
merged104	k__Bacteria:p__Cyanobacteria:c__4C0d-2:o__YS2:f__
merged106	k__Bacteria:p__Firmicutes:Other:Other:Other
merged108	k__Bacteria:p__Firmicutes:c__Bacilli:o__Bacillales:Other
merged109	k__Bacteria:p__Firmicutes:c__Bacilli:o__Bacillales:f__Bacillaceae
merged111	k__Bacteria:p__Firmicutes:c__Bacilli:o__Bacillales:f__Staphylococcaceae
merged112	k__Bacteria:p__Firmicutes:c__Bacilli:o__Gemellales:f__Gemellaceae
merged113	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:Other
merged114	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__
merged115	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__Aerococcaceae
merged116	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__Carnobacteriaceae
merged117	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__Enterococcaceae
merged118	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__Lactobacillaceae
merged119	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__Leuconostocaceae
merged120	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__Streptococcaceae
merged121	k__Bacteria:p__Firmicutes:c__Bacilli:o__Turicibacterales:f__Turicibacteraceae
merged123	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:Other
merged124	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__
merged125	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Christensenellaceae
merged126	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Clostridiaceae
merged127	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Dehalobacteriaceae
merged128	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__EtOH8
merged129	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Eubacteriaceae
merged130	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae
merged131	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Peptococcaceae
merged132	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Peptostreptococcaceae
merged133	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae
merged134	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Veillonellaceae
merged135	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__[Mogibacteriaceae]
merged136	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__[Tissierellaceae]
merged137	k__Bacteria:p__Firmicutes:c__Clostridia:o__SHA-98:f__
merged138	k__Bacteria:p__Firmicutes:c__Erysipelotrichi:o__Erysipelotrichales:f__Erysipelotrichaceae
merged139	k__Bacteria:p__Fusobacteria:c__Fusobacteriia:o__Fusobacteriales:f__Fusobacteriaceae
merged141	k__Bacteria:p__Lentisphaerae:c__[Lentisphaeria]:o__Victivallales:f__Victivallaceae
merged144	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__RF32:f__
merged145	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Rhizobiales:Other
merged146	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Rhizobiales:f__Bradyrhizobiaceae
merged148	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Rhizobiales:f__Methylobacteriaceae
merged149	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Rhizobiales:f__Phyllobacteriaceae
merged150	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Rhodobacterales:f__Rhodobacteraceae
merged151	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Sphingomonadales:f__Sphingomonadaceae
merged152	k__Bacteria:p__Proteobacteria:c__Betaproteobacteria:o__Burkholderiales:f__Alcaligenaceae
merged153	k__Bacteria:p__Proteobacteria:c__Betaproteobacteria:o__Burkholderiales:f__Comamonadaceae
merged154	k__Bacteria:p__Proteobacteria:c__Betaproteobacteria:o__Burkholderiales:f__Oxalobacteraceae
merged156	k__Bacteria:p__Proteobacteria:c__Betaproteobacteria:o__Neisseriales:f__Neisseriaceae
merged157	k__Bacteria:p__Proteobacteria:c__Betaproteobacteria:o__Rhodocyclales:f__Rhodocyclaceae
merged158	k__Bacteria:p__Proteobacteria:c__Deltaproteobacteria:o__Desulfovibrionales:f__Desulfovibrionaceae
merged159	k__Bacteria:p__Proteobacteria:c__Epsilonproteobacteria:o__Campylobacterales:f__Campylobacteraceae
merged161	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria:o__Enterobacteriales:f__Enterobacteriaceae
merged162	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria:o__Pasteurellales:f__Pasteurellaceae
merged163	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria:o__Pseudomonadales:f__Moraxellaceae
merged164	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria:o__Pseudomonadales:f__Pseudomonadaceae
merged166	k__Bacteria:p__Synergistetes:c__Synergistia:o__Synergistales:f__Dethiosulfovibrionaceae
merged167	k__Bacteria:p__TM7:c__TM7-3:o__:f__
merged170	k__Bacteria:p__Tenericutes:c__Mollicutes:o__RF39:f__
merged173	k__Bacteria:p__Verrucomicrobia:c__Verrucomicrobiae:o__Verrucomicrobiales:f__Verrucomicrobiaceae
merged174	Unassigned:Other:Other:Other:Other:Other
merged176	k__Bacteria:p__Actinobacteria:c__Actinobacteria:o__Actinomycetales:f__Actinomycetaceae:g__Actinomyces
merged177	k__Bacteria:p__Actinobacteria:c__Actinobacteria:o__Actinomycetales:f__Corynebacteriaceae:g__Corynebacterium
merged179	k__Bacteria:p__Actinobacteria:c__Actinobacteria:o__Actinomycetales:f__Propionibacteriaceae:g__Propionibacterium
merged180	k__Bacteria:p__Actinobacteria:c__Actinobacteria:o__Bifidobacteriales:f__Bifidobacteriaceae:g__Bifidobacterium
merged181	k__Bacteria:p__Actinobacteria:c__Coriobacteriia:o__Coriobacteriales:f__Coriobacteriaceae:Other
merged182	k__Bacteria:p__Actinobacteria:c__Coriobacteriia:o__Coriobacteriales:f__Coriobacteriaceae:g__
merged183	k__Bacteria:p__Actinobacteria:c__Coriobacteriia:o__Coriobacteriales:f__Coriobacteriaceae:g__Adlercreutzia
merged184	k__Bacteria:p__Actinobacteria:c__Coriobacteriia:o__Coriobacteriales:f__Coriobacteriaceae:g__Atopobium
merged185	k__Bacteria:p__Actinobacteria:c__Coriobacteriia:o__Coriobacteriales:f__Coriobacteriaceae:g__Collinsella
merged186	k__Bacteria:p__Actinobacteria:c__Coriobacteriia:o__Coriobacteriales:f__Coriobacteriaceae:g__Eggerthella
merged187	k__Bacteria:p__Actinobacteria:c__Coriobacteriia:o__Coriobacteriales:f__Coriobacteriaceae:g__Slackia
merged188	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:Other:Other
merged190	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__Bacteroidaceae:g__Bacteroides
merged191	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__Porphyromonadaceae:g__Parabacteroides
merged192	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__Porphyromonadaceae:g__Porphyromonas
merged193	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__Prevotellaceae:g__Prevotella
merged194	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__Rikenellaceae:g__
merged195	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__Rikenellaceae:g__Alistipes
merged196	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__S24-7:g__
merged198	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__[Barnesiellaceae]:g__
merged200	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__[Odoribacteraceae]:g__Butyricimonas
merged201	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__[Odoribacteraceae]:g__Odoribacter
merged202	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__[Paraprevotellaceae]:g__Paraprevotella
merged203	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__[Paraprevotellaceae]:g__[Prevotella]
merged206	k__Bacteria:p__Bacteroidetes:c__[Saprospirae]:o__[Saprospirales]:f__Chitinophagaceae:g__Sediminibacterium
merged207	k__Bacteria:p__Cyanobacteria:c__4C0d-2:o__YS2:f__:g__
merged209	k__Bacteria:p__Firmicutes:Other:Other:Other:Other
merged211	k__Bacteria:p__Firmicutes:c__Bacilli:o__Bacillales:Other:Other
merged212	k__Bacteria:p__Firmicutes:c__Bacilli:o__Bacillales:f__Bacillaceae:g__Bacillus
merged214	k__Bacteria:p__Firmicutes:c__Bacilli:o__Bacillales:f__Staphylococcaceae:g__Staphylococcus
merged215	k__Bacteria:p__Firmicutes:c__Bacilli:o__Gemellales:f__Gemellaceae:g__
merged217	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:Other:Other
merged218	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__:g__
merged221	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__Carnobacteriaceae:g__Granulicatella
merged222	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__Enterococcaceae:Other
merged223	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__Enterococcaceae:g__Enterococcus
merged224	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__Lactobacillaceae:g__Lactobacillus
merged225	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__Lactobacillaceae:g__Pediococcus
merged227	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__Leuconostocaceae:g__Leuconostoc
merged230	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__Streptococcaceae:g__Lactococcus
merged231	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__Streptococcaceae:g__Streptococcus
merged232	k__Bacteria:p__Firmicutes:c__Bacilli:o__Turicibacterales:f__Turicibacteraceae:g__Turicibacter
merged234	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:Other:Other
merged235	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__:g__
merged236	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Christensenellaceae:g__
merged238	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Clostridiaceae:Other
merged239	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Clostridiaceae:g__
merged240	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Clostridiaceae:g__Clostridium
merged241	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Clostridiaceae:g__SMB53
merged242	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Dehalobacteriaceae:g__Dehalobacterium
merged243	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__EtOH8:g__
merged244	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Eubacteriaceae:g__Anaerofustis
merged246	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:Other
merged247	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__
merged248	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__Anaerostipes
merged249	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__Blautia
merged250	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__Coprococcus
merged251	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__Dorea
merged252	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__Epulopiscium
merged253	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__Lachnospira
merged254	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__Roseburia
merged255	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__[Ruminococcus]
merged257	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Peptococcaceae:g__rc4-4
merged258	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Peptostreptococcaceae:g__
merged259	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Peptostreptococcaceae:g__Peptostreptococcus
merged260	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:Other
merged261	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:g__
merged262	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:g__Anaerotruncus
merged263	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:g__Faecalibacterium
merged264	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:g__Oscillospira
merged265	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:g__Ruminococcus
merged266	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Veillonellaceae:Other
merged268	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Veillonellaceae:g__Acidaminococcus
merged269	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Veillonellaceae:g__Dialister
merged270	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Veillonellaceae:g__Megamonas
merged271	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Veillonellaceae:g__Megasphaera
merged272	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Veillonellaceae:g__Phascolarctobacterium
merged275	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Veillonellaceae:g__Veillonella
merged276	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__[Mogibacteriaceae]:g__
merged277	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__[Mogibacteriaceae]:g__Mogibacterium
merged279	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__[Tissierellaceae]:g__Anaerococcus
merged280	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__[Tissierellaceae]:g__Finegoldia
merged281	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__[Tissierellaceae]:g__Parvimonas
merged282	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__[Tissierellaceae]:g__Peptoniphilus
merged283	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__[Tissierellaceae]:g__WAL_1855D
merged284	k__Bacteria:p__Firmicutes:c__Clostridia:o__SHA-98:f__:g__
merged285	k__Bacteria:p__Firmicutes:c__Erysipelotrichi:o__Erysipelotrichales:f__Erysipelotrichaceae:g__
merged286	k__Bacteria:p__Firmicutes:c__Erysipelotrichi:o__Erysipelotrichales:f__Erysipelotrichaceae:g__Bulleidia
merged287	k__Bacteria:p__Firmicutes:c__Erysipelotrichi:o__Erysipelotrichales:f__Erysipelotrichaceae:g__Catenibacterium
merged288	k__Bacteria:p__Firmicutes:c__Erysipelotrichi:o__Erysipelotrichales:f__Erysipelotrichaceae:g__Coprobacillus
merged289	k__Bacteria:p__Firmicutes:c__Erysipelotrichi:o__Erysipelotrichales:f__Erysipelotrichaceae:g__Holdemania
merged290	k__Bacteria:p__Firmicutes:c__Erysipelotrichi:o__Erysipelotrichales:f__Erysipelotrichaceae:g__[Eubacterium]
merged291	k__Bacteria:p__Firmicutes:c__Erysipelotrichi:o__Erysipelotrichales:f__Erysipelotrichaceae:g__cc_115
merged292	k__Bacteria:p__Fusobacteria:c__Fusobacteriia:o__Fusobacteriales:f__Fusobacteriaceae:g__Fusobacterium
merged294	k__Bacteria:p__Lentisphaerae:c__[Lentisphaeria]:o__Victivallales:f__Victivallaceae:g__
merged297	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__RF32:f__:g__
merged298	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Rhizobiales:Other:Other
merged299	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Rhizobiales:f__Bradyrhizobiaceae:g__
merged301	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Rhizobiales:f__Methylobacteriaceae:g__
merged302	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Rhizobiales:f__Phyllobacteriaceae:Other
merged303	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Rhizobiales:f__Phyllobacteriaceae:g__
merged305	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Rhodobacterales:f__Rhodobacteraceae:g__Paracoccus
merged307	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Sphingomonadales:f__Sphingomonadaceae:g__
merged308	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Sphingomonadales:f__Sphingomonadaceae:g__Sphingomonas
merged309	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Sphingomonadales:f__Sphingomonadaceae:g__Sphingopyxis
merged310	k__Bacteria:p__Proteobacteria:c__Betaproteobacteria:o__Burkholderiales:f__Alcaligenaceae:g__Sutterella
merged311	k__Bacteria:p__Proteobacteria:c__Betaproteobacteria:o__Burkholderiales:f__Comamonadaceae:g__Comamonas
merged313	k__Bacteria:p__Proteobacteria:c__Betaproteobacteria:o__Burkholderiales:f__Oxalobacteraceae:g__Cupriavidus
merged314	k__Bacteria:p__Proteobacteria:c__Betaproteobacteria:o__Burkholderiales:f__Oxalobacteraceae:g__Oxalobacter
merged317	k__Bacteria:p__Proteobacteria:c__Betaproteobacteria:o__Neisseriales:f__Neisseriaceae:g__Eikenella
merged318	k__Bacteria:p__Proteobacteria:c__Betaproteobacteria:o__Rhodocyclales:f__Rhodocyclaceae:g__
merged319	k__Bacteria:p__Proteobacteria:c__Betaproteobacteria:o__Rhodocyclales:f__Rhodocyclaceae:g__Propionivibrio
merged320	k__Bacteria:p__Proteobacteria:c__Deltaproteobacteria:o__Desulfovibrionales:f__Desulfovibrionaceae:g__Desulfovibrio
merged321	k__Bacteria:p__Proteobacteria:c__Epsilonproteobacteria:o__Campylobacterales:f__Campylobacteraceae:g__Campylobacter
merged323	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria:o__Enterobacteriales:f__Enterobacteriaceae:Other
merged324	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria:o__Enterobacteriales:f__Enterobacteriaceae:g__
merged325	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria:o__Enterobacteriales:f__Enterobacteriaceae:g__Morganella
merged326	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria:o__Enterobacteriales:f__Enterobacteriaceae:g__Proteus
merged328	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria:o__Enterobacteriales:f__Enterobacteriaceae:g__Serratia
merged329	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria:o__Pasteurellales:f__Pasteurellaceae:g__Actinobacillus
merged330	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria:o__Pasteurellales:f__Pasteurellaceae:g__Aggregatibacter
merged331	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria:o__Pasteurellales:f__Pasteurellaceae:g__Haemophilus
merged332	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria:o__Pseudomonadales:f__Moraxellaceae:Other
merged333	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria:o__Pseudomonadales:f__Moraxellaceae:g__
merged336	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria:o__Pseudomonadales:f__Pseudomonadaceae:g__Pseudomonas
merged338	k__Bacteria:p__Synergistetes:c__Synergistia:o__Synergistales:f__Dethiosulfovibrionaceae:g__Pyramidobacter
merged339	k__Bacteria:p__TM7:c__TM7-3:o__:f__:g__
merged342	k__Bacteria:p__Tenericutes:c__Mollicutes:o__RF39:f__:g__
merged345	k__Bacteria:p__Verrucomicrobia:c__Verrucomicrobiae:o__Verrucomicrobiales:f__Verrucomicrobiaceae:g__Akkermansia
